Gene	Filter development - 0h	Filter development - 1h	Filter development - 2h	Filter development - 3h	Filter development - 4h	Filter development - 5h	Filter development - 6h	Filter development - 7h	Filter development - 8h	Filter development - 9h	Filter development - 10h	Filter development - 11h	Filter development - 12h	Filter development - 14h	Filter development - 16h	Filter development - 18h	Filter development - 20h	Filter development - 22h	Filter development - 24h
DDB_G0279477	2.96730127694	1.04268032847	2.46174647988	3.27862586035	2.54263054041	2.56928150863	1.97324411495	2.42856119236	3.78140278036	3.38233505925	2.49911043358	2.49568027303	4.59043438219	3.41252275845	3.2569777015	3.13381663347	3.1924589405	2.71826838762	5.90526065559
DDB_G0279479	41.2286372536	6.3190088054	5.43041316136	12.6748587649	5.8972274939	28.2648880863	7.20246000278	18.0236487471	32.8357202875	17.4161076886	22.7730097856	3.53616605248	13.9728475854	12.135568995	12.6497964278	9.5772047692	9.48738443301	7.82644784742	3.88398708392
DDB_G0279481	11.4545912482	6.11088724271	5.44765847015	7.06694403511	9.30619237765	6.66792089981	7.92028330065	11.9103728637	16.2886679145	12.420930912	12.0704437714	18.3461027047	18.6773113536	15.5309929127	17.1385971391	32.3808079985	23.3556674579	25.9459574908	22.8454141138
DDB_G0279483	0.214678671519	0.216536018246	0.831030670739	0.824617256656	0.6751741682	0.526586276071	0.268734652998	0.336191410011	0.229318656	0.573383882975	0.636752301946	0.367044936659	11.0014179433	17.186616336	20.7734501807	45.1991614017	32.4664082929	14.8815704104	19.3756671076
DDB_G0279485	11.358678923	1.98533990684	14.2573837974	18.6582652877	13.114496188	9.58683718517	3.8012457373	3.85317658023	6.38517205115	5.79410175977	3.33204008912	2.05854239166	3.01426170027	1.75726418643	1.84052795795	0.99921255134	0.91562749647	1.11343119223	1.91373899093
DDB_G0279487	24.6435657847	18.7291745047	27.2815176186	33.1438404176	34.7360621334	32.506469907	26.3144621704	29.9892792337	28.66765052	22.010050808	19.8485836715	16.726405626	17.2318566654	7.06158650446	4.70363741069	2.61087218964	2.77093887931	2.6546769798	5.35322641709
DDB_G0279489	4.3526839801	2.84719313698	3.82440581725	3.98744494884	4.34578477634	3.02975237743	3.69079838261	1.41098591951	3.17142017263	2.10364708121	1.82694261944	2.34091503994	2.41662316913	2.77591579145	3.26463717821	2.69228238281	3.47119151496	2.24475656641	2.31044094236
DDB_G0279491	12.8571054934	4.46729366106	7.62706893281	10.9131465212	10.7107211263	8.62340390221	7.39617667818	6.40197712159	7.82995638778	8.58033081183	7.65836692019	8.11673556502	7.82342139205	8.87188798297	9.56863304143	3.07075843431	2.19089377189	1.59782410292	2.18993212112
DDB_G0279493	1.30132414025	1.75644904952	1.36031344828	0.87746475854	1.22878263398	0.920812186466	0.868280922017	0.276718170852	0.264966088364	0.272904277648	0.449123850742	0.0338856092474	0.132148484497	0.0387859120313	0.0	0.0748295540012	0.0713054220802	0.0755999561545	0.173354022292
DDB_G0279495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.484445623391	0.298755655329	0.0	0.0	0.351144184786	0.0	0.0	0.0	0.0
DDB_G0279497	27.3359177971	5.87404152683	10.9445131641	10.6701457307	7.27399944209	4.60698877134	2.01761696532	2.3656402738	7.4406885116	3.83644404028	2.66026831511	1.48344325839	1.6859268571	1.80571600387	1.66512278192	0.876827148883	0.723023124811	0.754826392932	0.951714641702
DDB_G0279499	14.6132686899	1.14062255238	4.42277156837	6.94694557963	5.37270865092	2.79892763451	2.78879033635	6.43766218416	11.3171916786	11.660115607	11.8939194486	24.5606800503	52.5305653529	65.159527298	58.9454249019	24.3165370027	9.19686734983	9.61894252221	8.39185935108
