Gene	D. discoideum - 0h	D. discoideum - 4h	D. discoideum - 8h	D. discoideum - 12h	D. discoideum - 16h	D. discoideum - 20h	D. discoideum - 24h
DDB_G0267270	2.61660907894	0.998144186445	0.0	0.0	0.0	2.63483915867	0.0
DDB_G0267272	1.47548098552	4.86097520322	0.990112982532	0.940053531159	1.92418826063	5.35565213723	6.09259226624
DDB_G0267274	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267278	0.0	0.0	0.0	0.327824673302	0.0	0.0	0.507117961975
DDB_G0267280	0.0	0.0	0.0	0.623363583325	1.8906741996	0.0	0.0
DDB_G0267282	2.46877272053	6.32298206102	3.33117399726	3.54324393862	1.21111850409	6.18528450554	5.99855296918
DDB_G0267286	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267292	58.7766826715	302.750573059	205.96103369	176.438827508	87.0856472703	265.234344016	478.898052393
DDB_G0267294	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267296	0.0	3.97198241531	3.00996807577	1.34013017913	2.84524912122	4.33188112713	4.77743279604
DDB_G0267298	0.0	0.0	0.0	0.0	0.0	0.922193705535	0.0
DDB_G0267300	4.18670971602	5.4421680752	2.00836826051	3.54890526173	1.65708517036	5.75574055221	5.87906853217
DDB_G0267302	0.0	0.0	0.0	0.85712492707	1.29983851223	0.0	0.0
DDB_G0267304	1.07342154449	1.68244680203	2.84329516663	1.19115053781	0.364809535644	2.73157694663	4.46289325325
DDB_G0267306	0.692183974904	1.89131421793	4.14985207896	3.26102455696	3.36697221359	4.01384380427	1.96357127592
DDB_G0267308	18.3829698837	54.6062990248	38.5849456402	31.1342106089	15.1463933759	24.2260246555	12.1000322274
DDB_G0267310	29.0909071177	41.8908257817	17.5171006278	14.026328105	8.0665351797	8.55346726555	10.2919056274
DDB_G0267314	6.21792533505	6.1724711001	2.70314452382	0.91271671712	3.37202512988	2.88243993151	3.91807174757
DDB_G0267322	2.28615152176	14.2586647715	3.24509161234	10.9499436824	7.6440023846	14.1075775146	18.8830513614
DDB_G0267324	3.11766188129	4.72053457583	2.75967661089	2.62014920388	3.46212297627	3.14964117873	3.40363876409
DDB_G0267326	4.3973468631	5.24716009932	1.93358733826	2.88128445084	2.5499988946	3.89137950601	8.0633720805
DDB_G0267328	4.76266621408	5.65732586248	1.72442977198	3.4943236957	2.56155399058	3.1434861679	8.41263255603
DDB_G0267330	0.0	0.0	0.0	3.15403908011	0.0	0.0	4.89563878676
DDB_G0267332	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267334	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267336	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267338	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267342	2.54516773069	5.48577048231	1.68334247922	3.17331912759	2.29314503777	4.28149875527	6.00788751919
DDB_G0267344	0.0924983198465	0.0	0.144244703255	0.0	0.0	0.511286466482	0.378842901904
DDB_G0267346	0.0	0.0	0.237510415295	0.267571676028	1.26329579269	0.601562906723	0.519204715584
DDB_G0267348	0.0	0.131830364248	0.0	0.580882134821	0.0	0.175135940938	0.0
DDB_G0267350	0.0	0.0	0.395207032496	0.66670744783	0.0	0.0	0.0
DDB_G0267352	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267354	24.6411957473	5.28250297771	5.40848602055	1.95250038293	5.09841379598	5.26967831735	4.57333955096
DDB_G0267356	372.859109075	597.304057143	365.276520392	396.764154559	248.444550737	287.441928487	266.420209951
DDB_G0267358	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267362	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267364	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267366	731.883434731	308.469128232	183.72495339	123.766675242	114.019247072	109.634731357	120.640402416
DDB_G0267370	0.91581317763	0.687956101135	1.4197275804	0.51253135052	0.0	0.92822048697	0.0
DDB_G0267372	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267374	82.7753956796	220.011733558	206.64721246	179.334130764	77.9333659539	53.4285893955	47.0556000093
DDB_G0267376	8.39370251797	38.8196684986	60.9593306779	58.4028680862	63.0175624708	47.5424886596	38.6682838945
DDB_G0267378	0.397097275179	0.526203663604	37.4907640508	478.736989253	919.05453581	1848.33511171	1182.69231897
DDB_G0267380	696.399883242	881.497669707	188.898281758	329.354626238	170.49767638	158.58539512	163.265085824
DDB_G0267382	1571.14553295	1941.73400548	832.774997759	505.935398621	187.354438786	179.426095238	188.698455204
DDB_G0267384	4.41222304822	39.8389602481	22.749524164	18.5453486183	13.1747642111	8.31182113125	8.84442196925
DDB_G0267386	411.91026928	58.3168101214	92.6559254508	152.586543216	153.575541141	222.276546917	184.432321947
DDB_G0267388	5.22867362982	1.76386214554	5.7823066452	10.5005957403	7.65928294319	4.70995849246	5.16866034947
DDB_G0267390	306.465705247	1167.53898647	312.510953277	124.720059503	77.5352921783	37.5497200189	22.534932894
DDB_G0267392	1.02471548171	12.4248354459	5.65416581841	7.00149901357	9.50564880889	6.14144191277	5.09101884648
